ecg,ecg1,ecg3,rrIntervalList
4697.344,9157.12,7760.64,
4642.816,9109.248,7790.592,
4750.848,9285.888,7736.064,
4804.352,9331.712,7707.392,
4697.6,9150.976,7759.872,
4644.352,9099.264,7793.92,
4752.896,9264.64,7755.52,
4803.328,9312.768,7721.472,
4702.72,9150.976,7752.448,
4648.704,9104.64,7787.776,
4750.08,9279.744,7744.768,
4802.304,9323.008,7728.384,
4696.576,9151.488,7780.608,
4647.424,9114.112,7802.88,
4764.416,9285.632,7751.68,
4820.224,9333.76,7712,
4706.304,9183.488,7743.744,
4659.456,9171.2,7746.048,
4778.752,9369.344,7691.52,
4823.808,9418.496,7646.976,
4700.416,9242.88,7688.448,
4665.344,9216,7728.896,
4794.88,9406.976,7680,
4869.632,9442.56,7662.592,
4779.52,9254.912,7730.176,
4745.984,9199.36,7776.512,
4854.784,9346.56,7725.312,
4897.024,9360.128,7701.504,
4803.584,9188.352,7762.432,
4758.016,9148.928,7783.936,
4840.704,9310.72,7738.112,
4845.568,9331.712,7705.088,
4717.312,9153.28,7743.232,
4666.624,9110.272,7767.04,
4765.952,9265.152,7739.392,
4808.448,9289.728,7735.04,
4704,9120.768,7784.192,
4660.736,9090.56,7815.936,
4766.464,9267.712,7770.368,
4810.752,9304.832,7734.784,
4705.792,9131.008,7785.728,
4658.176,9091.072,7824.128,
4760.064,9257.472,7772.928,
4807.168,9288.704,7738.624,
4706.048,9123.584,7790.08,
4665.856,9090.56,7822.08,
4769.792,9263.36,7765.248,
4819.456,9324.544,7700.224,
4790.016,9224.192,7717.12,
4890.112,9280.256,7722.24,
5093.12,9553.92,7638.528,
5157.12,9741.312,7700.736,
5368.064,9836.8,8477.44,
5308.928,9760.512,8136.448,
4940.032,9469.184,7428.608,
4731.648,9128.704,7450.624,
4777.472,9098.752,7727.872,
4914.688,9325.312,7730.432,
4957.184,9398.528,7680.512,
4844.288,9242.368,7702.528,
4802.56,9205.76,7736.32,
4909.824,9366.784,7695.104,
4947.2,9388.032,7661.056,
4835.072,9211.136,7725.056,
4799.744,9181.952,7766.784,
4914.176,9360.896,7724.032,
4951.04,9383.424,7713.024,
4839.936,9209.088,7796.736,
4945.408,9383.68,7739.136,
4975.104,9401.088,7724.032,
4877.056,9228.8,7789.568,
4862.208,9215.488,7818.24,
4973.568,9392.896,7751.424,
5005.312,9412.352,7709.44,
4905.984,9244.672,7773.696,
4873.728,9223.424,7812.096,
4991.488,9401.088,7769.344,
5035.008,9423.872,7740.672,
4938.752,9261.056,7793.152,
4922.624,9249.792,7824.64,
5048.576,9419.776,7776.256,
5104.64,9436.16,7758.08,
5010.432,9267.2,7813.632,
5012.48,9280.512,7835.904,
5164.032,9486.336,7761.92,
5184.512,9485.312,7733.248,
5040.64,9271.296,7792.384,
4989.44,9229.056,7822.336,
5114.624,9404.928,7776.512,
5171.456,9425.92,7753.472,
5084.928,9251.84,7812.096,
5078.272,9244.672,7832.32,
5217.536,9431.552,7778.56,
5289.728,9468.928,7761.664,
5221.888,9317.888,7807.744,
5198.336,9290.24,7836.416,
5338.368,9466.624,7792.128,
5424.128,9503.488,7777.28,
5397.76,9384.96,7825.664,
5452.288,9448.96,7846.144,
5741.312,9767.68,7777.536,
5972.224,9936.896,7706.88,
5745.92,9652.992,7793.92,
5334.528,9378.048,7791.36,
5346.56,9379.84,7774.72,
5248,9229.056,7812.864,
5232.128,9257.728,7830.784,
5345.024,9462.784,7759.36,
5312,9457.92,7714.56,
5175.552,9297.664,7724.032,
5126.4,9299.2,7721.728,
5138.944,9426.176,7659.008,
5124.096,9422.336,7635.2,
4990.976,9250.048,7688.96,
4928,9236.736,7720.448,
4990.72,9395.712,7671.552,
4988.672,9390.848,7659.264,
4865.024,9215.232,7724.288,
4815.872,9208.32,7757.824,
4901.376,9375.232,7712.768,
4963.328,9410.816,7691.52,
5035.008,9399.04,7722.496,
5063.68,9444.864,7732.736,
4992.256,9451.008,7686.144,
4842.752,9294.848,7700.736,
4693.504,9080.32,7773.696,
4683.264,9087.232,7801.088,
4802.048,9272.064,7757.824,
4838.4,9297.92,7731.2,
4762.624,9157.888,7774.976,
4909.056,9303.552,7775.744,
5136.384,9589.248,7700.224,
5031.68,9475.072,7683.84,
4785.152,9176.832,7758.08,
4702.976,9121.792,7791.104,
4814.848,9292.8,7749.888,
4862.976,9301.248,7744.512,
4774.4,9130.496,7796.224,
4759.296,9143.808,7796.992,
4880.128,9330.944,7733.76,
4911.872,9339.392,7735.808,
4818.176,9187.84,7781.888,
4803.072,9200.384,7778.56,
4912.384,9368.32,7724.288,
5000.192,9426.688,7715.328,
5026.048,9393.408,7737.856,
4981.504,9368.064,7744.256,
4916.48,9361.92,7716.352,
4788.48,9228.544,7728.384,
4658.944,9056.768,7788.032,
4692.48,9110.784,7795.712,
4874.752,9342.72,7738.624,
4906.24,9357.568,7723.776,
4804.608,9204.736,7781.376,
4808.704,9219.84,7796.736,
4918.016,9380.096,7736.576,
4958.208,9393.92,7737.088,
4908.544,9288.448,7778.816,
4871.424,9279.232,7791.36,
4896.512,9366.272,7735.296,
4865.024,9311.488,7723.264,
4771.072,9169.152,7783.936,
4776.704,9201.92,7784.448,
4876.8,9357.312,7732.224,
4881.92,9340.928,7730.688,
4786.176,9187.84,7782.4,
4790.528,9217.536,7787.52,
4908.032,9390.848,7730.432,
4912.128,9373.952,7714.56,
4834.56,9233.92,7772.16,
5143.552,9600.768,7687.168,
5006.592,9454.336,7673.6,
4688.896,9102.592,7773.44,
4610.304,9057.792,7812.864,
4760.32,9257.472,7761.664,
4817.664,9288.96,7748.864,
4737.024,9159.68,7782.144,
4745.216,9196.544,7784.448,
4848.128,9360.896,7730.944,
