ecg,ecg2,ecg3,rrIntervalList
10004.992,8646.656,658.432
10082.816,8662.528,669.696
10176.256,8643.328,627.968
10192.64,8720.896,591.616
10124.032,8719.36,566.784
10071.808,8619.264,601.088
10065.408,8541.184,609.024
10050.56,8598.272,598.784
10040.832,8652.288,585.472
10024.96,8573.184,608.768
9987.072,8457.728,630.784
9946.112,8494.848,635.136
9922.048,8539.392,634.368
9914.88,8469.76,668.672
9881.344,8361.216,692.48
9827.84,8372.224,675.584
9802.496,8401.92,644.096
9820.416,8352.512,655.36
9831.168,8275.712,657.664
9806.08,8316.928,643.072
9775.104,8356.608,627.712
9758.976,8290.56,659.968
9730.304,8185.856,661.76
9714.432,8237.312,631.296
9738.24,8318.72,605.44
9751.552,8271.616,625.408
9767.424,8206.592,625.152
9777.92,8280.064,600.064
9768.704,8331.008,580.352
9779.968,8286.208,607.232
9775.872,8210.176,613.376
9720.576,8215.552,576.0
9686.784,8251.136,558.08
9723.904,8235.008,584.192
9776.128,8201.216,574.208
9780.48,8273.152,549.632
9753.6,8312.576,529.92
9760.768,8270.848,566.784
9783.808,8217.344,583.68
9800.96,8300.032,550.912
9786.624,8359.68,538.112
9763.328,8284.16,570.368
9771.264,8209.92,582.144
9778.176,8282.624,557.568
9754.88,8328.448,535.296
9749.248,8184.32,533.248
9733.12,8311.04,521.472
9748.224,8270.848,543.488
9780.992,8216.832,543.744
9785.344,8276.736,505.344
9786.112,8333.824,477.184
9781.76,8272.64,492.544
9762.816,8186.88,525.824
9743.104,8230.656,509.952
9739.264,8279.04,470.528
9781.504,8260.352,487.424
9818.88,8210.432,479.488
9767.68,8223.232,450.56
9695.232,8225.024,441.088
9692.416,8163.84,457.728
9741.824,8105.472,422.656
9793.536,8215.808,399.36
9808.128,8311.808,388.352
9782.784,8233.728,408.32
9768.192,8132.096,413.184
9772.544,8200.96,402.944
9777.408,8268.544,369.408
9800.704,8227.072,375.04
9824.768,8170.752,377.088
9823.232,8251.136,365.312
9788.928,8308.992,381.696
9766.144,8250.88,439.808
9827.584,8209.408,412.672
9901.312,8303.36,331.008
9882.368,8327.68,280.32
9820.416,8223.488,309.248
